point,x,y
1,605,-818
2,-614,273
3,-437,525
4,-874,-83
5,722,-92
6,-161,462
7,-321,419
8,772,389
9,187,-513
10,-796,321
11,-296,265
12,-910,-173
13,-424,355
14,-113,729
15,-656,-847
16,432,-669
17,-35,414
18,-394,-763
19,-910,201
20,-671,-402
21,562,156
22,470,-452
23,-314,-817
24,-114,189
25,-227,-197
26,969,-365
27,-473,204
28,-688,-671
29,461,662
30,-185,-667
31,-973,782
32,134,412
33,-906,128
34,-487,207
35,982,436
36,-292,807
37,-183,659
38,321,814
39,901,-814
40,-120,-586
41,-645,-883
42,-373,814
43,943,45
44,-430,-438
45,-732,-182
46,-455,981
47,932,-598
48,-825,-2
49,-731,-438
50,980,214
